,Company Name,Salary,tags,Job Roles
90,Sasken,400000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
91,Advanced Millennium Technologies,400000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
92,Unacademy,1000000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
93,SnapBizz Cloudtech,300000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
94,Appoids Tech Solutions,600000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
95,Freelancer,100000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
96,SQUARE N CUBE,192000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
97,Samsung R&D Institute India - Bangalore,400000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
98,DXMinds Technologies,300000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
99,Endeavour Software Technologies,600000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
100,Craft Silicon,300000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
101,Baronford & Associates,240000,"['Android', 'Developer', 'Bangalore', 'Full', 'Time', 'Android', 'Android', 'Mobile', 'Mobile Developer', 'Java', 'Kotlin', 'Android Studio']",['Android']
